ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Restaurant_address,Delivery_address
5795,RANCHIRES06DEL02,31,4.7,23.357804,85.325146,23.487804,85.455146,10-03-2022,22:30:00,22:45:00,conditions Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,(min) 26,"G.E.L Church Complex, Mahatma Gandhi Road, Konkā, Ranchi, Kanke, Ranchi, Jharkhand, 834002, India","Ormanjhi, Ranchi, Jharkhand, India"
6C6B,COIMBRES13DEL01,37,5,11.003669,76.976494,11.013669,76.986494,11-03-2022,08:15:00,08:30:00,conditions Sandstorms,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 20,"Bishop Appasamy College, Thirugnanasambandam Road, Ward 71, Central Zone, Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India","RV Bakery, Avinashi Road, PN Palayam, Ward 55, North Zone, Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India"
B816,CHENRES19DEL02,33,4.3,12.986047,80.218114,13.116047,80.348114,27-03-2022,19:30:00,19:45:00,conditions Windy,Jam ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 39,"Velachery Bypass Road, Gangai Nagar, Ward 177, Zone 13 Adyar, Chennai, Tamil Nadu, 600042, India","Chennai, Tamil Nadu, 600001, India"
539B,MUMRES02DEL01,25,4,19.221315,72.862381,19.261315,72.902381,26-03-2022,12:25:00,12:30:00,conditions Cloudy,High ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 34,"Devipada, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra, 400066, India","Mira-Bhayander, Thane Taluka, Thane, Maharashtra, 401104, India"
A1B2,CHENRES01DEL01,29,4.5,13.005801,80.250744,13.115801,80.360744,27-03-2022,18:35:00,18:50:00,conditions Sunny,Medium ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,(min) 15,"Kasturibai Nagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India","Chennai, Tamil Nadu, 600001, India"
3231,JAPRES16DEL03,27,5,26.849596,75.800512,26.879596,75.830512,05-04-2022,20:35:00,20:40:00,conditions Stormy,Jam ,0,Snack ,motorcycle ,0,No ,Urban ,(min) 18,"Jaipur Municipal Corporation, Sanganer Tehsil, Jaipur, Rajasthan, 302018, India","Jamwa Ramgarh Road, Jaipur Municipal Corporation, Sanganer Tehsil, Jaipur, Rajasthan, 302201, India"
8BC0,SURRES15DEL03,35,4.3,21.160522,72.771477,21.250522,72.861477,12-03-2022,23:20:00,23:30:00,conditions Cloudy,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,(min) 38,"Majura Taluka, Surat, Gujarat, 395007, India","Amroli, Adajan Taluka, Surat, Gujarat, 394105, India"
2288,BANGRES09DEL03,32,4,12.934179,77.615797,13.024179,77.705797,16-03-2022,21:20:00,21:35:00,conditions Windy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 47,"Patton House 2, 4th Cross, 4th B Cross Road, Koramangala 5th Block, Koramangala, Bangalore South, Bengaluru Urban, Karnataka, 560095, India","TC Palya, Seegehalli, Bangalore East, Bengaluru Urban, Karnataka, 560049, India"
3C5E,PUNERES04DEL01,23,4.8,18.51421,73.838429,18.62421,73.948429,02-04-2022,23:35:00,23:45:00,conditions Windy,Low ,2,Buffet ,electric_scooter ,0,No ,Urban ,(min) 12,"Prabhat Path, Deccan Gymkhana, Pune City, Pune, Maharashtra, 411004, India","Haveli, Pune, Maharashtra, 411047, India"
3E60,COIMBRES02DEL03,31,4.8,11.022477,76.995667,11.052477,77.025667,01-04-2022,22:35:00,22:50:00,conditions Sandstorms,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 26,"Peelamedu, Ward 39, North Zone, Coimbatore South, Coimbatore, Tamil Nadu, 641028, India","Ward 36, East Zone, Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India"
BFF,SURRES16DEL02,36,4.1,21.160437,72.774209,21.210437,72.824209,05-03-2022,22:35:00,22:40:00,conditions Stormy,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 22,"Sizzling Salsa, Dumas Road, Majura Taluka, Surat, Gujarat, 394518, India","Katargam Daravaja, Surat, Katargam Taluka, Surat, Gujarat, 395008, India"
D936,GOARES15DEL02,26,4.3,15.51315,73.78346,15.56315,73.83346,11-02-2022,23:25:00,23:35:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,(min) 21,"Nerul, Sinquerim, Bardez, North Goa, Goa, 403515, India","Punola, Bardez, North Goa, Goa, 403508, India"
D681,GOARES07DEL01,38,4.9,15.561295,73.749478,15.601295,73.789478,11-02-2022,13:35:00,13:40:00,conditions Cloudy,High ,1,Drinks ,scooter ,1,No ,Urban ,(min) 25,"Britto's, Calangute Baga Road, Tambudki Vaddo, Baga, Calangute, Bardez, North Goa, Goa, 403518, India","Lucasinho Rebeiro Marg, Buta Waddo, Ansabhat, Assagao, Bardez, North Goa, Goa, 403517, India"
2876,RANCHIRES02DEL01,32,3.5,0.0,0.0,0.11,0.11,08-03-2022,21:35:00,21:45:00,conditions Stormy,Jam ,1,Snack ,scooter ,0,No ,Urban ,(min) 35,,
30C8,PUNERES19DEL02,32,4.6,18.563934,73.915367,18.693935,74.045367,02-04-2022,22:35:00,22:45:00,conditions Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 30,"Pune City, Pune, Maharashtra, 411011, India","Shirur, Pune, Maharashtra, India"
B843,PUNERES02DEL01,33,4.9,18.55144,73.804855,18.62144,73.874855,08-03-2022,18:55:00,19:10:00,conditions Sunny,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 22,"Marutrao Gaikwad nagar, Aundh, Pune City, Pune, Maharashtra, 411027, India","Pimpri-Chinchwad, Haveli, Pune, Maharashtra, 411031, India"
B3A0,PUNERES18DEL01,20,4.7,18.593481,73.785901,18.633481,73.825901,03-04-2022,14:15:00,14:25:00,conditions Windy,High ,1,Snack ,scooter ,0,No ,Urban ,(min) 10,"Spot 18, Jagtap Dairy-Wakad Road, Shantiniketan Society, Vishal Nagar, Pimpri-Chinchwad, Haveli, Pune, Maharashtra, 431027, India","MIDC Bhosari, Ajmera, Pimpri-Chinchwad, Haveli, Pune, Maharashtra, 411026, India"
6531,SURRES08DEL01,20,4.8,21.173343,72.792731,21.183343,72.802731,30-03-2022,11:00:00,11:10:00,conditions Sandstorms,Low ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 19,"Majura Taluka, Surat, Gujarat, 395007, India","Surat, Chorasi Taluka, Surat, Gujarat, 359009, India"
4BDA,HYDRES17DEL02,35,5,17.451976,78.385883,17.471976,78.405883,01-04-2022,09:45:00,09:55:00,conditions Sunny,Low ,2,Snack ,scooter ,1,No ,Urban ,(min) 11,"Image Garden Road, HITEC City, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500081, India","Khaitalpur, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 500047, India"
9D26,BANGRES17DEL02,26,4.9,12.972532,77.608179,12.992532,77.628179,28-03-2022,08:40:00,08:55:00,conditions Stormy,Low ,2,Buffet ,scooter ,0,No ,Metropolitian ,(min) 11,"Vivanta Residency Road, 66, Field Marshal Cariappa Road, Craig Park Layout, Ashok Nagar, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India","MEG Golf Course, Ramakrishna Road, Heerachand Layout, Cox Town, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560005, India"
9B18,BANGRES17DEL01,22,4.8,12.972532,77.608179,13.042532,77.678179,18-03-2022,23:00:00,23:10:00,conditions Fog,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 28,"Vivanta Residency Road, 66, Field Marshal Cariappa Road, Craig Park Layout, Ashok Nagar, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560025, India","K. Channasandra, Bileshivale, Bangalore East, Bengaluru Urban, Karnataka, 560077, India"
5D99,CHENRES11DEL01,35,4.3,13.064181,80.236442,13.134181,80.306442,14-03-2022,17:25:00,17:30:00,conditions Cloudy,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 33,"Sterling Avenue, Ward 110, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India","Chennai Port Road, Ward 43, Zone 4 Tondiarpet, Chennai, Tamil Nadu, 600001, India"
4F0,MUMRES17DEL02,NaN ,NaN ,19.121999,72.908493,19.201999,72.988493,06-04-2022,NaN ,18:35:00,conditions Cloudy,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 33,"Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra, 400076, India","Saket - Kalwa Rd, Kranti Nagar, Uthalsar, Thane, Thane Taluka, Thane, Maharashtra, 400603, India"
B796,SURRES17DEL03,37,4.7,21.149569,72.772697,21.239569,72.862697,04-04-2022,19:45:00,19:50:00,conditions Sandstorms,Jam ,0,Snack ,motorcycle ,3,No ,Metropolitian ,(min) 52,"Green Leaf Hospital, Udhna Magdalla Road, Majura Taluka, Surat, Gujarat, 395007, India","Amroli, Adajan Taluka, Surat, Gujarat, 394105, India"
85B4,MUMRES07DEL01,28,4.6,19.091458,72.827808,19.201458,72.937808,08-03-2022,19:10:00,19:25:00,conditions Stormy,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 22,"Sesame, 1005, Juhu Tara Road, Chandrabai Nagar, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra, 400049, India","Road Number 34, Wagle Industrial Estate, Thane, Thane Taluka, Thane, Maharashtra, 400604, India"
C644,KOLRES16DEL02,37,4.9,22.539129,88.365507,22.559129,88.385507,13-02-2022,10:55:00,11:00:00,conditions Fog,Low ,1,Snack ,scooter ,1,No ,Urban ,(min) 16,"Quest Mall, Radha Govinda Saha Lane, Park Circus, Kolkata, West Bengal, 700017, India","Dhapa Road, Tangra North, Kolkata, West Bengal, 700048, India"
6999,MUMRES02DEL03,23,4.9,19.221315,72.862381,19.281315,72.922381,24-03-2022,21:40:00,21:45:00,conditions Sunny,Jam ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,(min) 11,"Devipada, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra, 400066, India","Kaju Pada, Mira-Bhayander, Thane Taluka, Thane, Maharashtra, 401107, India"
63B6,BANGRES05DEL03,27,4.9,12.970324,77.645748,13.030324,77.705748,19-03-2022,19:00:00,19:15:00,conditions Windy,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 25,"Aleph Primero, 613, 12th Main Road, Old Thippasandra, Indiranagar, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560038, India","Alehalli, Kittaganuru, Bangalore East, Bengaluru Urban, Karnataka, 560049, India"
A30B,CHENRES11DEL01,37,4.8,13.064181,80.236442,13.104181,80.276442,09-03-2022,16:45:00,16:55:00,conditions Cloudy,Medium ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 26,"Sterling Avenue, Ward 110, Zone 9 Teynampet, Chennai, Tamil Nadu, 600001, India","Vallalar Nagar Bus Depot, Basin Bridge Road, Moolakothalam, CMWSSB Division 53, Zone 5 Royapuram, Chennai, Tamil Nadu, 600001, India"
3556,SURRES09DEL01,33,5,21.175975,72.795503,21.185975,72.805503,19-03-2022,11:30:00,11:40:00,conditions Sunny,High ,2,Snack ,scooter ,1,No ,Metropolitian ,(min) 18,"Majura Taluka, Surat, Gujarat, 395007, India","River Front Walkway, Surat, Chorasi Taluka, Surat, Gujarat, 392009, India"
5554,RANCHIRES15DEL01,31,4.9,23.369746,85.33982,23.409746,85.37982,03-04-2022,15:10:00,15:15:00,conditions Fog,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 16,"The Best, Ground Floor, RS Tower, circular road, Lālpur, Ranchi, Kanke, Ranchi, Jharkhand, 834001, India","Kishunpur, Ranchi, Kanke, Ranchi, Jharkhand, 834117, India"
25FD,BANGRES19DEL01,31,4.8,12.914264,77.6784,13.024264,77.7884,25-03-2022,22:45:00,22:55:00,conditions Stormy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 23,"The Hoot Cafe & Brewery, BBMP 2034/69,Sarjapur Main Road, Block 2 Village, Varthur Hobli, Kaikondrahalli, Sarjapur Road, Iblur, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560035, India","Bhaktarahalli, Hosakote taluk, Bengaluru Rural, Karnataka, 562114, India"
C1FF,AURGRES20DEL03,25,5,0.0,0.0,0.03,0.03,13-02-2022,22:10:00,22:25:00,conditions Cloudy,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 15,,
7AC8,COIMBRES14DEL02,28,4.8,11.003681,76.975525,11.083681,77.055525,04-04-2022,20:45:00,20:55:00,conditions Sandstorms,Jam ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 36,"Ward 73, Central Zone, Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India","Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India"
3DA1,SURRES08DEL03,31,4.7,21.173343,72.792731,21.233343,72.852731,26-03-2022,22:50:00,23:05:00,conditions Cloudy,Low ,2,Snack ,motorcycle ,0,No ,Metropolitian ,(min) 16,"Majura Taluka, Surat, Gujarat, 395007, India","Amroli, Adajan Taluka, Surat, Gujarat, 394107, India"
272D,COIMBRES07DEL03,24,4.7,10.96185,76.971082,11.05185,77.061082,10-03-2022,17:55:00,18:00:00,conditions Sunny,Medium ,0,Buffet ,motorcycle ,0,No ,Urban ,(min) 19,"Ward 94, South Zone, Podanur, Coimbatore South, Coimbatore, Tamil Nadu, 641024, India","Avinashi Road, Goldwins, Ward 35, East Zone, Coimbatore, Sulur, Coimbatore, Tamil Nadu, 641001, India"
DDC5,AGRRES12DEL03,39,4.6,27.165108,78.015053,27.255108,78.105053,14-02-2022,22:45:00,23:00:00,conditions Sunny,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 27,"Gwalior road, Agra Cantonment, Agra, Uttar Pradesh, 280001, India","Etmadpur, Agra, Uttar Pradesh, India"
8E6C,VADRES02DEL02,39,4.2,0.0,0.0,0.08,0.08,02-03-2022,20:35:00,20:50:00,conditions Fog,Jam ,2,Snack ,scooter ,1,No ,Semi-Urban ,(min) 49,,
B002,JAPRES14DEL01,32,4.5,26.88842,75.800689,26.89842,75.810689,26-03-2022,09:25:00,09:40:00,conditions Windy,Low ,2,Buffet ,scooter ,0,No ,NaN ,(min) 20,"Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","Sawai Mansingh Road, Sindhi Colony, Adarsh Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302004, India"
395B,VADRES04DEL03,36,4.7,0.0,0.0,0.06,0.06,13-03-2022,20:15:00,20:20:00,conditions Cloudy,Jam ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 30,,
8AA2,JAPRES18DEL02,25,4.8,26.913987,75.752891,26.993987,75.832891,29-03-2022,22:25:00,22:35:00,conditions Sandstorms,Low ,1,Drinks ,scooter ,0,No ,Urban ,(min) 18,"Queens Road, Green Park, Vaishali Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India","kundalaoo Colony, Amber, Jaipur Municipal Corporation, Amber Tehsil, Jaipur(Rural), Rajasthan, 303101, India"
B55A,MYSRES04DEL03,33,4.9,12.3085,76.665808,12.3385,76.695808,30-03-2022,21:55:00,22:00:00,conditions Sunny,Jam ,2,Drinks ,scooter ,0,No ,Metropolitian ,(min) 22,"Century Layout, Nazarbad, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India","Satagalli, Mysuru taluk, Mysuru, Karnataka, 570019, India"
73CC,SURRES12DEL01,30,4.4,21.183434,72.814492,21.253434,72.884492,12-03-2022,22:40:00,22:55:00,conditions Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 34,"Surat, Chorasi Taluka, Surat, Gujarat, 395001, India","Adajan Taluka, Surat, Gujarat, 394105, India"
BE80,MUMRES04DEL01,33,5,19.254567,72.848923,19.364567,72.958923,31-03-2022,23:50:00,23:55:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,(min) 24,"Holy Cross Road, I C Colony, R/N Ward, Zone 4, Mumbai Suburban, Maharashtra, 400092, India","Bhiwandi Taluka, Thane, Maharashtra, India"
1609,PUNERES02DEL01,36,4.9,18.55144,73.804855,18.59144,73.844855,17-03-2022,15:25:00,15:40:00,conditions Fog,Medium ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 17,"Marutrao Gaikwad nagar, Aundh, Pune City, Pune, Maharashtra, 411027, India","College of Military Engineering, Bhosari-Dighi Road, Bhosari, Pimpri-Chinchwad, Haveli, Pune, Maharashtra, 411031, India"
D255,ALHRES07DEL02,21,4.8,25.449659,81.839744,25.469659,81.859744,15-02-2022,10:20:00,10:30:00,conditions Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,(min) 14,"Civil Lines, Prayagraj, Uttar Pradesh, 211001, India","Mumfordganj, Prayagraj, Uttar Pradesh, 211001, India"
DE72,DEHRES19DEL02,39,4.9,30.372202,78.077151,30.422202,78.127151,15-02-2022,20:55:00,21:00:00,conditions Stormy,Jam ,2,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 30,"Dehradun-Mussoorie Road, Rājpur, Dehradun, Uttarakhand, 248001, India","loharigarh, Dehradun, Uttarakhand, 248122, India"
98AA,VADRES16DEL02,23,4.8,0.0,0.0,0.02,0.02,07-03-2022,10:40:00,10:50:00,conditions Stormy,Low ,1,Meal ,scooter ,1,No ,Metropolitian ,(min) 15,,
273A,VADRES09DEL01,35,4.8,0.0,0.0,0.04,0.04,28-03-2022,15:55:00,16:05:00,conditions Fog,Medium ,2,Buffet ,scooter ,1,No ,Urban ,(min) 16,,
A258,CHENRES12DEL03,39,4.6,12.972793,80.249982,13.062793,80.339982,16-03-2022,20:10:00,20:15:00,conditions Cloudy,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 36,"Jayendra Colony, Ward 183, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600041, India","Chennai, Tamil Nadu, 600001, India"
